# Created by Octave 3.8.0, Sun Apr 17 15:01:55 2016 IST <Sunny@Prithvis-MacBook-Pro.local>
# name: cluster
# type: matrix
# rows: 14
# columns: 4
 0 0 0 0
 0 100 100 100
 0.001 100 100 100
 0.003 100 100 100
 0.01 100 100 100
 0.03 100 100 100
 0.1 99.20273348519362 99.09090909090909 98.54014598540147
 0.3 98.63325740318906 97.72727272727273 98.54014598540147
 1 98.29157175398633 97.27272727272728 98.17518248175182
 3 97.26651480637814 96.36363636363636 97.44525547445255
 9 93.96355353075171 93.63636363636364 93.06569343065694
 27 56.15034168564921 55.90909090909091 53.28467153284672
 81 56.15034168564921 55.90909090909091 53.28467153284672
 243 56.15034168564921 55.90909090909091 53.28467153284672


